hz,b,c,ph,am,,,,
2038300000,-2.24E+01,1.47E+02,-2.59E+01,-5.46E+01,-2.60E+01,-5.40E+01,-2.10E+01,-1.68E+02
2043200000,-2.31E+01,1.33E+02,-2.62E+01,-9.77E+01,-2.61E+01,-9.77E+01,-2.37E+01,1.34E+02
2048100000,-2.39E+01,1.20E+02,-2.63E+01,-1.41E+02,-2.63E+01,-1.41E+02,-2.90E+01,7.57E+01
2053000000,-2.47E+01,1.09E+02,-2.64E+01,1.75E+02,-2.64E+01,1.75E+02,-3.96E+01,1.81E+01
2057900000,-2.56E+01,9.85E+01,-2.65E+01,1.33E+02,-2.65E+01,1.32E+02,-4.68E+01,1.01E+02
2062800000,-2.65E+01,9.02E+01,-2.64E+01,8.93E+01,-2.64E+01,8.90E+01,-3.65E+01,2.73E+01
2067700000,-2.70E+01,8.28E+01,-2.64E+01,4.52E+01,-2.64E+01,4.46E+01,-3.07E+01,-5.24E+01
2072600000,-2.76E+01,7.17E+01,-2.66E+01,1.50E+00,-2.66E+01,9.78E-01,-2.65E+01,-1.19E+02
2077500000,-2.96E+01,6.50E+01,-2.66E+01,-4.06E+01,-2.66E+01,-4.05E+01,-2.34E+01,-1.77E+02
2082400000,-3.12E+01,6.58E+01,-2.64E+01,-8.33E+01,-2.64E+01,-8.30E+01,-2.14E+01,1.25E+02
2087300000,-3.29E+01,7.28E+01,-2.62E+01,-1.26E+02,-2.61E+01,-1.27E+02,-2.04E+01,6.31E+01
2092200000,-3.23E+01,7.91E+01,-2.60E+01,-1.69E+02,-2.60E+01,-1.71E+02,-1.98E+01,-4.92E+00
2097100000,-3.21E+01,7.69E+01,-2.55E+01,1.47E+02,-2.58E+01,1.46E+02,-1.88E+01,-7.32E+01
2102000000,-3.16E+01,7.74E+01,-2.51E+01,1.02E+02,-2.53E+01,1.02E+02,-1.76E+01,-1.37E+02
2106900000,-2.97E+01,6.53E+01,-2.48E+01,5.53E+01,-2.49E+01,5.63E+01,-1.69E+01,1.62E+02
2111800000,-2.90E+01,4.33E+01,-2.47E+01,9.25E+00,-2.46E+01,9.67E+00,-1.69E+01,9.96E+01
2116700000,-2.90E+01,1.80E+01,-2.46E+01,-3.69E+01,-2.46E+01,-3.72E+01,-1.73E+01,3.28E+01
2121600000,-3.05E+01,-4.02E+00,-2.47E+01,-8.28E+01,-2.47E+01,-8.35E+01,-1.73E+01,-3.41E+01
2126500000,-2.91E+01,-1.19E+01,-2.48E+01,-1.28E+02,-2.50E+01,-1.28E+02,-1.68E+01,-9.70E+01
2131400000,-2.67E+01,-4.05E+01,-2.48E+01,-1.72E+02,-2.49E+01,-1.71E+02,-1.63E+01,-1.57E+02
2136300000,-2.50E+01,-7.04E+01,-2.48E+01,1.43E+02,-2.46E+01,1.45E+02,-1.59E+01,1.44E+02
2141200000,-2.33E+01,-9.86E+01,-2.48E+01,9.87E+01,-2.43E+01,9.92E+01,-1.60E+01,8.21E+01
2146100000,-2.17E+01,-1.24E+02,-2.48E+01,5.50E+01,-2.43E+01,5.24E+01,-1.63E+01,1.63E+01
2151000000,-2.04E+01,-1.47E+02,-2.45E+01,1.12E+01,-2.45E+01,7.57E+00,-1.63E+01,-5.13E+01
2155900000,-1.92E+01,-1.68E+02,-2.43E+01,-3.45E+01,-2.46E+01,-3.62E+01,-1.57E+01,-1.16E+02
2160800000,-1.84E+01,1.72E+02,-2.42E+01,-7.99E+01,-2.44E+01,-7.95E+01,-1.49E+01,-1.77E+02
2165700000,-1.80E+01,1.52E+02,-2.41E+01,-1.24E+02,-2.40E+01,-1.24E+02,-1.44E+01,1.22E+02
2170600000,-1.80E+01,1.32E+02,-2.38E+01,-1.70E+02,-2.37E+01,-1.71E+02,-1.44E+01,5.71E+01
2175500000,-1.83E+01,1.14E+02,-2.36E+01,1.44E+02,-2.37E+01,1.42E+02,-1.46E+01,-1.22E+01
2180400000,-1.87E+01,9.60E+01,-2.37E+01,9.72E+01,-2.40E+01,9.62E+01,-1.45E+01,-7.96E+01
2185300000,-1.93E+01,7.86E+01,-2.37E+01,5.21E+01,-2.40E+01,5.27E+01,-1.40E+01,-1.43E+02
2190200000,-1.99E+01,6.24E+01,-2.36E+01,6.69E+00,-2.37E+01,8.35E+00,-1.35E+01,1.54E+02
2195100000,-2.04E+01,4.46E+01,-2.35E+01,-4.02E+01,-2.34E+01,-3.88E+01,-1.30E+01,8.83E+01
2200000000,-2.12E+01,2.44E+01,-2.38E+01,-8.60E+01,-2.35E+01,-8.64E+01,-1.31E+01,2.05E+01
2204900000,-2.25E+01,9.12E-01,-2.36E+01,-1.29E+02,-2.37E+01,-1.31E+02,-1.36E+01,-4.66E+01
2209800000,-2.49E+01,-2.72E+01,-2.33E+01,-1.76E+02,-2.35E+01,-1.76E+02,-1.41E+01,-1.13E+02
2214700000,-2.82E+01,-5.95E+01,-2.33E+01,1.35E+02,-2.33E+01,1.37E+02,-1.42E+01,-1.80E+02
2219600000,-3.13E+01,-1.05E+02,-2.35E+01,8.84E+01,-2.33E+01,8.90E+01,-1.43E+01,1.11E+02
2224500000,-3.18E+01,-1.59E+02,-2.37E+01,4.19E+01,-2.35E+01,4.01E+01,-1.50E+01,4.16E+01
2229400000,-3.04E+01,1.59E+02,-2.39E+01,-5.28E+00,-2.40E+01,-7.49E+00,-1.63E+01,-2.82E+01
2234300000,-2.91E+01,1.33E+02,-2.44E+01,-5.22E+01,-2.47E+01,-5.32E+01,-1.76E+01,-9.59E+01
2239200000,-2.71E+01,1.11E+02,-2.49E+01,-9.76E+01,-2.51E+01,-9.72E+01,-1.91E+01,-1.60E+02
2244100000,-2.56E+01,8.52E+01,-2.53E+01,-1.42E+02,-2.54E+01,-1.42E+02,-2.15E+01,1.39E+02
2249000000,-2.49E+01,5.84E+01,-2.58E+01,1.73E+02,-2.58E+01,1.73E+02,-2.60E+01,7.93E+01
2253900000,-2.46E+01,3.14E+01,-2.63E+01,1.29E+02,-2.64E+01,1.29E+02,-3.36E+01,1.81E+01
2258800000,-2.47E+01,4.90E+00,-2.68E+01,8.59E+01,-2.69E+01,8.67E+01,-4.82E+01,1.37E+01
2263700000,-2.47E+01,-2.19E+01,-2.73E+01,4.46E+01,-2.72E+01,4.54E+01,-3.55E+01,1.49E+01
2268600000,-2.42E+01,-5.14E+01,-2.74E+01,3.96E+00,-2.73E+01,4.16E+00,-2.88E+01,-5.24E+01
2273500000,-2.31E+01,-8.63E+01,-2.74E+01,-3.72E+01,-2.73E+01,-3.74E+01,-2.48E+01,-1.16E+02
2278400000,-2.21E+01,-1.22E+02,-2.73E+01,-7.93E+01,-2.71E+01,-7.94E+01,-2.22E+01,-1.77E+02
2283300000,-2.11E+01,-1.54E+02,-2.71E+01,-1.22E+02,-2.69E+01,-1.23E+02,-2.05E+01,1.22E+02
2288200000,-2.03E+01,1.78E+02,-2.70E+01,-1.65E+02,-2.68E+01,-1.67E+02,-1.95E+01,5.83E+01
2293100000,-1.98E+01,1.53E+02,-2.67E+01,1.52E+02,-2.68E+01,1.50E+02,-1.89E+01,-8.93E+00
2298000000,-1.95E+01,1.31E+02,-2.64E+01,1.08E+02,-2.67E+01,1.07E+02,-1.82E+01,-7.57E+01
2302900000,-1.93E+01,1.10E+02,-2.62E+01,6.37E+01,-2.65E+01,6.35E+01,-1.73E+01,-1.39E+02
2307800000,-1.92E+01,8.84E+01,-2.60E+01,1.88E+01,-2.61E+01,1.97E+01,-1.65E+01,1.60E+02
2312700000,-1.93E+01,6.65E+01,-2.58E+01,-2.68E+01,-2.57E+01,-2.61E+01,-1.60E+01,9.56E+01
2317600000,-1.97E+01,4.46E+01,-2.57E+01,-7.25E+01,-2.57E+01,-7.31E+01,-1.56E+01,2.83E+01
2322500000,-2.04E+01,2.28E+01,-2.58E+01,-1.18E+02,-2.59E+01,-1.19E+02,-1.54E+01,-3.80E+01
2327400000,-2.15E+01,4.10E-01,-2.59E+01,-1.63E+02,-2.62E+01,-1.62E+02,-1.53E+01,-1.01E+02
2332300000,-2.30E+01,-2.37E+01,-2.60E+01,1.53E+02,-2.61E+01,1.55E+02,-1.50E+01,-1.64E+02
2337200000,-2.49E+01,-5.25E+01,-2.61E+01,1.10E+02,-2.58E+01,1.12E+02,-1.42E+01,1.32E+02
2342100000,-2.67E+01,-9.18E+01,-2.58E+01,6.68E+01,-2.53E+01,6.65E+01,-1.34E+01,6.59E+01
2347000000,-2.72E+01,-1.40E+02,-2.55E+01,2.12E+01,-2.53E+01,1.83E+01,-1.32E+01,-7.78E-01
2351900000,-2.63E+01,1.77E+02,-2.56E+01,-2.53E+01,-2.57E+01,-2.83E+01,-1.34E+01,-6.67E+01
2356800000,-2.52E+01,1.47E+02,-2.58E+01,-6.97E+01,-2.62E+01,-7.06E+01,-1.33E+01,-1.31E+02
2361700000,-2.41E+01,1.24E+02,-2.59E+01,-1.13E+02,-2.61E+01,-1.12E+02,-1.27E+01,1.66E+02
2366600000,-2.28E+01,1.03E+02,-2.58E+01,-1.57E+02,-2.56E+01,-1.56E+02,-1.22E+01,1.02E+02
2371500000,-2.15E+01,7.79E+01,-2.59E+01,1.59E+02,-2.56E+01,1.57E+02,-1.23E+01,3.36E+01
2376400000,-2.08E+01,5.00E+01,-2.59E+01,1.15E+02,-2.61E+01,1.12E+02,-1.27E+01,-3.45E+01
2381300000,-2.04E+01,2.18E+01,-2.58E+01,7.19E+01,-2.64E+01,7.14E+01,-1.27E+01,-9.79E+01
2386200000,-2.02E+01,-5.59E+00,-2.57E+01,2.83E+01,-2.62E+01,3.18E+01,-1.25E+01,-1.58E+02
2391100000,-2.02E+01,-3.28E+01,-2.56E+01,-1.49E+01,-2.54E+01,-1.02E+01,-1.23E+01,1.40E+02
2396000000,-2.04E+01,-6.02E+01,-2.54E+01,-5.72E+01,-2.48E+01,-5.60E+01,-1.23E+01,7.17E+01
2400900000,-2.06E+01,-8.83E+01,-2.49E+01,-1.00E+02,-2.45E+01,-1.02E+02,-1.26E+01,1.57E+00
2405800000,-2.06E+01,-1.17E+02,-2.44E+01,-1.45E+02,-2.44E+01,-1.47E+02,-1.31E+01,-6.36E+01
2410700000,-2.04E+01,-1.46E+02,-2.41E+01,1.70E+02,-2.42E+01,1.70E+02,-1.35E+01,-1.25E+02
2415600000,-1.97E+01,-1.73E+02,-2.36E+01,1.26E+02,-2.35E+01,1.26E+02,-1.37E+01,1.72E+02
2420500000,-1.90E+01,1.61E+02,-2.28E+01,7.91E+01,-2.27E+01,7.90E+01,-1.37E+01,1.05E+02
2425400000,-1.84E+01,1.37E+02,-2.24E+01,3.04E+01,-2.22E+01,2.89E+01,-1.41E+01,3.76E+01
2430300000,-1.80E+01,1.12E+02,-2.22E+01,-1.78E+01,-2.23E+01,-2.05E+01,-1.53E+01,-2.89E+01
2435200000,-1.78E+01,8.80E+01,-2.20E+01,-6.56E+01,-2.24E+01,-6.76E+01,-1.67E+01,-9.46E+01
2440100000,-1.77E+01,6.35E+01,-2.20E+01,-1.14E+02,-2.24E+01,-1.14E+02,-1.79E+01,-1.61E+02
2445000000,-1.76E+01,3.79E+01,-2.21E+01,-1.62E+02,-2.23E+01,-1.61E+02,-1.92E+01,1.34E+02
2449900000,-1.77E+01,1.08E+01,-2.21E+01,1.50E+02,-2.21E+01,1.51E+02,-2.10E+01,7.00E+01
2454800000,-1.83E+01,-1.59E+01,-2.22E+01,1.01E+02,-2.21E+01,1.02E+02,-2.33E+01,8.16E+00
2459700000,-1.92E+01,-4.16E+01,-2.25E+01,5.21E+01,-2.24E+01,5.30E+01,-2.59E+01,-4.82E+01
2464600000,-2.04E+01,-6.71E+01,-2.29E+01,3.84E+00,-2.28E+01,4.65E+00,-2.80E+01,-8.98E+01
2469500000,-2.16E+01,-9.40E+01,-2.35E+01,-4.41E+01,-2.34E+01,-4.38E+01,-2.76E+01,-1.20E+02
2474400000,-2.26E+01,-1.23E+02,-2.43E+01,-9.09E+01,-2.42E+01,-9.08E+01,-2.54E+01,-1.62E+02
2479300000,-2.27E+01,-1.53E+02,-2.52E+01,-1.36E+02,-2.51E+01,-1.36E+02,-2.35E+01,1.45E+02
2484200000,-2.21E+01,1.77E+02,-2.61E+01,-1.79E+02,-2.59E+01,1.80E+02,-2.18E+01,8.66E+01
2489100000,-2.14E+01,1.49E+02,-2.69E+01,1.39E+02,-2.68E+01,1.37E+02,-2.01E+01,2.34E+01
2494000000,-2.09E+01,1.23E+02,-2.75E+01,9.92E+01,-2.76E+01,9.68E+01,-1.87E+01,-4.10E+01
2498900000,-2.09E+01,9.93E+01,-2.77E+01,6.06E+01,-2.81E+01,5.89E+01,-1.76E+01,-1.04E+02
2503800000,-2.10E+01,7.46E+01,-2.75E+01,2.11E+01,-2.79E+01,2.18E+01,-1.66E+01,-1.67E+02
2508700000,-2.11E+01,4.81E+01,-2.71E+01,-2.07E+01,-2.72E+01,-1.84E+01,-1.58E+01,1.28E+02
2513600000,-2.14E+01,1.94E+01,-2.68E+01,-6.37E+01,-2.65E+01,-6.29E+01,-1.51E+01,6.00E+01
2518500000,-2.16E+01,-1.01E+01,-2.64E+01,-1.08E+02,-2.63E+01,-1.09E+02,-1.48E+01,-6.64E+00
2523400000,-2.21E+01,-3.93E+01,-2.62E+01,-1.54E+02,-2.64E+01,-1.55E+02,-1.47E+01,-6.92E+01
2528300000,-2.29E+01,-6.74E+01,-2.62E+01,1.60E+02,-2.65E+01,1.62E+02,-1.47E+01,-1.30E+02
2533200000,-2.38E+01,-9.65E+01,-2.65E+01,1.16E+02,-2.64E+01,1.18E+02,-1.44E+01,1.68E+02
2538100000,-2.46E+01,-1.30E+02,-2.66E+01,7.24E+01,-2.62E+01,7.33E+01,-1.37E+01,1.01E+02
2543000000,-2.45E+01,-1.69E+02,-2.67E+01,2.87E+01,-2.63E+01,2.72E+01,-1.30E+01,3.48E+01
2547900000,-2.33E+01,1.53E+02,-2.68E+01,-1.44E+01,-2.67E+01,-1.69E+01,-1.29E+01,-2.82E+01
2552800000,-2.18E+01,1.20E+02,-2.69E+01,-5.60E+01,-2.71E+01,-5.83E+01,-1.33E+01,-8.82E+01
2557700000,-2.04E+01,9.18E+01,-2.67E+01,-9.71E+01,-2.71E+01,-9.77E+01,-1.34E+01,-1.49E+02
2562600000,-1.93E+01,6.62E+01,-2.63E+01,-1.40E+02,-2.66E+01,-1.38E+02,-1.29E+01,1.48E+02
