,Freq='1.71GHz' Phi='0deg',Freq='1.77GHz' Phi='0deg',Freq='1.83GHz' Phi='0deg',Freq='1.885GHz' Phi='0deg',Freq='1.9GHz' Phi='0deg',Freq='1.915GHz' Phi='0deg',Freq='2.01GHz' Phi='0deg',Freq='2.018GHz' Phi='0deg',Freq='2.025GHz' Phi='0deg',Freq='2.575GHz' Phi='0deg',Freq='2.6GHz' Phi='0deg',Freq='2.635GHz' Phi='0deg'
-42,2.315342207,2.529393439,2.527962728,2.579092818,2.677507608,2.81752087,3.730304585,3.712388645,3.684556169,5.002205855,5.041195761,4.97014389
-41,2.603678226,2.848409067,3.007970139,3.136101017,3.234215183,3.366453504,4.195058606,4.178375946,4.151807368,5.126521325,5.214856127,5.223051324
-40,2.91712896,3.186571431,3.483856168,3.667816993,3.762631988,3.885359213,4.604758738,4.586520984,4.559497646,5.259817843,5.400643369,5.499060457
-39,3.251301678,3.536755885,3.945601275,4.165520693,4.25479724,4.367081153,4.966485201,4.946313753,4.919189955,5.43210652,5.617044876,5.807173462
-38,3.598274169,3.890825131,4.384800639,4.624298828,4.707001764,4.809028901,5.294472416,5.274014073,5.248677979,5.648128558,5.85882114,6.136134824
-37,3.94857013,4.241347708,4.795946835,5.043568177,5.120004881,5.213106786,5.605857409,5.58769006,5.566432605,5.890394687,6.108115296,6.467982761
-36,4.29339368,4.5828459,5.176948161,5.426634293,5.498286438,5.584696469,5.915248339,5.901340861,5.885456244,6.137369578,6.352222142,6.790656239
-35,4.626438995,4.91231132,5.528876426,5.779425964,5.848508664,5.930895222,6.229838757,6.220197217,6.208942126,6.380094359,6.592332135,7.09895692
-34,4.944812689,5.228968839,5.855074538,6.108697626,6.177537435,6.258410699,6.547223142,6.53942597,6.529909213,6.625531789,6.837889123,7.386253899
-33,5.248894225,5.533466391,6.15986405,6.420164995,6.490561002,6.571709642,6.857065731,6.8469508,6.835026626,6.886408932,7.092828647,7.637207779
-32,5.541228759,5.826808058,6.447193678,6.717140145,6.789908122,6.872037433,7.145794458,7.128931611,7.110633707,7.16575842,7.345356695,7.829158935
-31,5.824803343,6.109413646,6.71961787,7.000118983,7.074963466,7.157637714,7.402115558,7.375383441,7.348270768,7.447695583,7.569327194,7.94127499
-30,6.101284197,6.380641059,6.977916072,7.267414637,7.343135613,7.425000936,7.621220517,7.583905951,7.54785873,7.701515966,7.735734387,7.965288415
-29,6.369876866,6.638930934,7.221437566,7.516489881,7.591388538,7.670547566,7.806471574,7.760559745,7.71779617,7.895962298,7.826565194,7.912660135
-28,6.627281009,6.882478235,7.448967776,7.745370185,7.817657464,7.892046044,7.968217192,7.917761696,7.872043218,8.014061493,7.844079727,7.815339068
-27,6.868765283,7.110113105,7.659704,7.953549523,8.021607164,8.089285336,8.120085406,8.06980297,8.025053138,8.060453593,7.811615976,7.717690943
-26,7.089904629,7.321982022,7.853904339,8.142081686,8.204539684,8.26390253,8.273969661,8.227568712,8.186462042,8.057870204,7.764311613,7.659386771
-25,7.288255641,7.519693613,8.032936727,8.312933443,8.368647243,8.418627666,8.435807598,8.394833168,8.358057591,8.034584082,7.732931459,7.657390767
-24,7.464286127,7.705802423,8.198732373,8.468011995,8.516088657,8.556424431,8.604237889,8.568032294,8.534602946,8.010946168,7.731412053,7.701647028
-23,7.621148939,7.882784924,8.352931724,8.608433622,8.648429606,8.679993864,8.772705612,8.739426915,8.707780315,7.995624105,7.758354448,7.769033145
-22,7.763297509,8.051919314,8.496180037,8.73447796,8.766772801,8.791852667,8.933498561,8.901510583,8.870661453,7.9933877,7.808808351,7.841685743
-21,7.894406436,8.212589081,8.627983122,8.8462944,8.872487363,8.894802996,9.081223574,9.050043732,9.020144872,8.01298885,7.88127015,7.913145858
-20,8.015447058,8.362394724,8.747263029,8.944972787,8.968038199,8.992292813,9.213960171,9.184309522,9.156374917,8.06295724,7.972001943,7.980773389
-19,8.123835798,8.498110331,8.8533836,9.03330859,9.057254718,9.088140291,9.331952341,9.304997259,9.280043177,8.138267938,8.065869251,8.037048346
-18,8.214166006,8.617135642,8.947141825,9.115653765,9.144596874,9.185442346,9.435143541,9.411473735,9.389668115,8.214595568,8.138353599,8.071514335
-17,8.280321649,8.71886419,9.031182889,9.196666438,9.233530011,9.285066358,9.521425918,9.500455034,9.480853504,8.26054207,8.170329556,8.081207685
-16,8.318173677,8.80539606,9.109516866,9.279405995,9.324753739,9.384582523,9.586891752,9.567083622,9.5481439,8.258973785,8.162645211,8.076807935
-15,8.327867318,8.881235852,9.186219686,9.363738276,9.415327653,9.478450595,9.627990665,9.607773158,9.588331299,8.220235748,8.137092503,8.075741881
-14,8.314872908,8.951969121,9.263839183,9.446025336,9.499385849,9.559657686,9.644221179,9.62301391,9.603113327,8.17654231,8.120844081,8.087254202
-13,8.289308747,9.022334752,9.342275256,9.520447196,9.570280172,9.622201718,9.63959835,9.618296486,9.599323318,8.158861904,8.125278868,8.104559165
-12,8.263507876,9.094462242,9.418759897,9.581410214,9.623208833,9.663351734,9.621757333,9.602294017,9.58623692,8.17257953,8.138311208,8.113812235
-11,8.24845663,9.167091025,9.489043085,9.625929943,9.657151459,9.684702063,9.598840964,9.582983075,9.571168675,8.195210946,8.139680827,8.113233265
-10,8.250429843,9.236196426,9.549287874,9.654919805,9.675267491,9.691531725,9.575743579,9.56382106,9.555902663,8.201827598,8.127512574,8.125601706
-9,8.269357064,9.296782649,9.597842331,9.672824006,9.683564813,9.690666589,9.552000733,9.542429704,9.536347679,8.197158005,8.133403895,8.190052988
-8,8.299731883,9.34506551,9.636118651,9.685728895,9.688374344,9.687728951,9.522833436,9.512828203,9.505845851,8.22569871,8.208088802,8.333085255
-7,8.33355743,9.380140961,9.66817204,9.698758274,9.693753741,9.685053348,9.482872193,9.469960742,9.460174995,8.343325979,8.380459039,8.541502411
-6,8.363863996,9.404495715,9.699082539,9.713957098,9.700069232,9.681303056,9.430378145,9.41383726,9.401287045,8.56606675,8.625917224,8.766220408
-5,8.387321586,9.423174019,9.732768446,9.729700716,9.704446906,9.672935835,9.369524466,9.350903033,9.3376294,8.847507469,8.880512543,8.954681589
-4,8.405128703,9.441915758,9.770200575,9.741897113,9.702792207,9.656682245,9.309412081,9.291788765,9.280748294,9.112002925,9.08570971,9.081033488
-3,8.422110538,9.465006207,9.808888684,9.746316232,9.692289752,9.631756656,9.260251836,9.246569117,9.239965813,9.305551968,9.220093894,9.152236888
-2,8.444521032,9.493746328,9.843914121,9.740872167,9.673167174,9.600782929,9.228811184,9.220245283,9.218287423,9.419354314,9.298646264,9.191148516
-1,8.477408282,9.526193046,9.870006908,9.726816795,9.648963429,9.569086553,9.215834229,9.21122101,9.212089789,9.478802685,9.34812293,9.212807797
0,8.522541527,9.558200285,9.883692296,9.708364378,9.625243332,9.542731686,9.216929567,9.213562358,9.214535572,9.513334993,9.379997635,9.214393639
1,8.577682377,9.585178115,9.884582197,9.690953258,9.607371869,9.526230109,9.226061318,9.221238313,9.220145288,9.530501397,9.383135434,9.186336548
2,8.637406598,9.603746834,9.875321955,9.678948809,9.598396386,9.521004842,9.239204298,9.23150373,9.227596948,9.514302733,9.340494494,9.130870623
3,8.695019783,9.612655571,9.860269756,9.673880317,9.598051285,9.52530198,9.256049951,9.245641525,9.239476998,9.446393439,9.251868213,9.068099257
4,8.744726548,9.612745626,9.843500323,9.67406064,9.603313617,9.535462437,9.279219657,9.267204572,9.259783064,9.32893205,9.141733865,9.022412157
5,8.783246056,9.606126739,9.827026292,9.675700482,9.61010013,9.547770055,9.311965025,9.299322989,9.291171636,9.189866711,9.044836025,9.000963554
6,8.810376067,9.594979596,9.810047676,9.67483542,9.615144314,9.559909521,9.355992714,9.342891881,9.333731015,9.06613687,8.979954543,8.985376131
7,8.828394884,9.580472476,9.789539561,9.6690409,9.617135225,9.571423054,9.410649654,9.39654933,9.385719028,8.976845569,8.934984757,8.945328269
8,8.840562669,9.562188668,9.761825326,9.658158765,9.616707559,9.583149303,9.473610882,9.45799276,9.445256117,8.90954423,8.8777428,8.860776409
9,8.849302801,9.538240336,9.724349092,9.643847034,9.615489211,9.596121747,9.542210047,9.52535184,9.511456247,8.832440455,8.781332174,8.734276812
10,8.854808293,9.505978551,9.676859789,9.628340744,9.614829841,9.610581798,9.614300274,9.597529595,9.584116919,8.719932764,8.642082813,8.586134575
11,8.854680986,9.463004381,9.621553567,9.613125687,9.614887879,9.625575313,9.688069182,9.67332688,9.662243847,8.569829705,8.479169387,8.43796879
12,8.844758357,9.408108867,9.56217312,9.598167393,9.614451988,9.639188889,9.761070539,9.750076796,9.742532295,8.402439584,8.319313812,8.298323838
13,8.820739654,9.341818923,9.5024664,9.581960156,9.6114131,9.649112341,9.829302634,9.822859232,9.818956047,8.245248542,8.17887186,8.162124466
14,8.779899777,9.266359808,9.444653113,9.562196469,9.603472726,9.653106991,9.887129341,9.884970619,9.883869035,8.114817294,8.056898031,8.022739466
15,8.722212261,9.185023068,9.388535749,9.536583412,9.588648898,9.649133908,9.928270455,9.929503078,9.930067142,8.008812508,7.9430001,7.884474826
16,8.650495789,9.101120868,9.331591571,9.503373529,9.565374256,9.635185877,9.947395736,9.951216371,9.952735562,7.912634308,7.831197867,7.765639841
17,8.569576645,9.016866552,9.269926068,9.461439703,9.532275943,9.609069264,9.941493318,9.947754138,9.950346267,7.813609254,7.728900008,7.691489629
18,8.484798252,8.932574207,9.199608018,9.410009048,9.487901653,9.56839095,9.910312061,9.919632879,9.924144708,7.712785052,7.656394721,7.682030166
19,8.400427187,8.846462419,9.117821782,9.348325579,9.430640472,9.510851522,9.855653027,9.86904108,9.87653186,7.628337687,7.637025339,7.740382477
20,8.318522514,8.75510912,9.023449892,9.275489209,9.35893038,9.434747367,9.779845566,9.798044055,9.80914469,7.587403434,7.681106286,7.847140819
21,8.238616164,8.654356299,8.916991679,9.190570181,9.271659572,9.339459127,9.684141806,9.707068999,9.721564773,7.606733287,7.772375395,7.965508722
22,8.15818937,8.540333448,8.799985737,9.092923119,9.16855806,9.225701447,9.567805595,9.594392362,9.611245702,7.672956168,7.869126678,8.056978312
23,8.073623267,8.410297125,8.67425372,8.982514611,9.050378626,9.095405827,9.428309225,9.456820015,9.474605861,7.740613096,7.923013155,8.099609098
24,7.981208009,8.2631137,8.541292633,8.860072897,8.918759009,8.951248186,9.262480844,9.291149458,9.308670846,7.753583407,7.904328647,8.097915946
25,7.877910828,8.099354262,8.402024344,8.726952748,8.775787747,8.795962123,9.068011679,9.095687931,9.112481818,7.675317071,7.819003637,8.07682161
26,7.761801393,7.921068868,8.256919908,8.584735392,8.623412406,8.63165714,8.844654723,8.87118772,8.887714854,7.510133393,7.707273532,8.060716827
27,7.63218342,7.73135288,8.106340456,8.43469855,8.462890972,8.459361073,8.594678841,8.620899813,8.638361744,7.305585231,7.619927293,8.051452897
28,7.489533995,7.533827505,7.950854001,8.277350404,8.294471961,8.278923502,8.322488778,8.349819228,8.369690299,7.129860295,7.582067757,8.024360043
29,7.335330087,7.332146393,7.791325091,8.112199551,8.117400995,8.089283196,8.033619922,8.06346396,8.086924781,7.028859379,7.572771426,7.946189891
30,7.171798046,7.129615959,7.628699775,7.937839987,7.930228958,7.888976309,7.733494814,7.766644014,7.794128674,6.993056682,7.540228939,7.798991612
31,7.001598583,6.928977408,7.46355876,7.752309315,7.731294241,7.676696289,7.426362651,7.462625015,7.493636408,6.966430531,7.436481105,7.59260866
32,6.827469523,6.732345394,7.295622837,7.553585713,7.519210498,7.451728714,7.114732348,7.152897356,7.186127334,6.886706336,7.243196928,7.359584943
33,6.651876658,6.541245029,7.123423497,7.340060461,7.29321693,7.214152682,6.799395221,6.837509876,6.871181839,6.719653423,6.977376896,7.136087814
34,6.476740786,6.356657672,6.944289439,7.110856592,7.053314927,6.964786445,6.479908286,6.515731797,6.548019224,6.470016528,6.680076846,6.940610699
